Date,Open,High,Low,Close,Parsed_Date,Day
06-11-2025,"21,945.80","22,106.00","21,790.80","21,887.50",2025-06-11 00:00:00,Wednesday
06-10-2025,"21,824.00","21,992.30","21,732.00","21,962.50",2025-06-10 00:00:00,Tuesday
06-09-2025,"21,799.30","21,890.80","21,716.00","21,821.50",2025-06-09 00:00:00,Monday
06-06-2025,"21,471.00","21,873.50","21,471.00","21,789.50",2025-06-06 00:00:00,Friday
06-05-2025,"21,744.80","21,935.00","21,503.50","21,582.30",2025-06-05 00:00:00,Thursday
06-04-2025,"21,688.30","21,803.00","21,641.00","21,766.50",2025-06-04 00:00:00,Wednesday
06-03-2025,"21,555.00","21,759.80","21,399.30","21,706.00",2025-06-03 00:00:00,Tuesday
06-02-2025,"21,303.80","21,576.30","21,163.00","21,534.50",2025-06-02 00:00:00,Monday
05-30-2025,"21,371.30","21,433.50","21,071.50","21,376.80",2025-05-30 00:00:00,Friday
05-29-2025,"21,513.00","21,858.80","21,301.00","21,408.50",2025-05-29 00:00:00,Thursday
05-28-2025,"21,480.00","21,567.50","21,321.30","21,379.80",2025-05-28 00:00:00,Wednesday
05-27-2025,"21,281.30","21,488.50","21,141.50","21,460.50",2025-05-27 00:00:00,Tuesday
05-23-2025,"21,223.80","21,236.00","20,727.00","20,975.00",2025-05-23 00:00:00,Friday
05-22-2025,"21,145.00","21,337.50","21,040.00","21,178.30",2025-05-22 00:00:00,Thursday
05-21-2025,"21,414.80","21,558.50","21,072.80","21,156.80",2025-05-21 00:00:00,Wednesday
05-20-2025,"21,513.00","21,562.30","21,298.00","21,447.30",2025-05-20 00:00:00,Tuesday
05-19-2025,"21,310.80","21,544.50","21,112.50","21,527.00",2025-05-19 00:00:00,Monday
05-16-2025,"21,396.00","21,512.00","21,320.30","21,506.00",2025-05-16 00:00:00,Friday
05-15-2025,"21,379.80","21,529.80","21,192.00","21,400.30",2025-05-15 00:00:00,Thursday
05-14-2025,"21,250.00","21,419.50","21,238.30","21,392.50",2025-05-14 00:00:00,Wednesday
05-13-2025,"20,954.80","21,346.50","20,818.00","21,278.00",2025-05-13 00:00:00,Tuesday
05-12-2025,"20,398.50","20,996.00","20,376.80","20,948.80",2025-05-12 00:00:00,Monday
05-09-2025,"20,157.00","20,288.80","20,058.00","20,136.80",2025-05-09 00:00:00,Friday
05-08-2025,"19,934.50","20,337.30","19,910.80","20,148.00",2025-05-08 00:00:00,Thursday
05-07-2025,"19,809.00","20,133.80","19,678.80","19,961.00",2025-05-07 00:00:00,Wednesday
